time_range,single_topic,count
오후,개인 및 관계,2388
오후,행사,602
저녁,여가 생활,487
새벽,시사/교육,555
오후,일과 직업,322
저녁,주거와 생활,417
저녁,행사,498
저녁,개인 및 관계,2226
새벽,개인 및 관계,1051
저녁,시사/교육,499
오전,일과 직업,182
오전,개인 및 관계,1046
저녁,미용과 건강,351
저녁,일과 직업,357
오전,미용과 건강,238
오후,시사/교육,498
오후,주거와 생활,446
오후,미용과 건강,409
오전,행사,200
오전,주거와 생활,152
오후,상거래(쇼핑),476
저녁,식음료,226
새벽,미용과 건강,107
새벽,여가 생활,186
오후,식음료,206
오후,여가 생활,496
새벽,주거와 생활,166
새벽,행사,55
오전,식음료,89
오전,시사/교육,224
오전,여가 생활,173
오전,상거래(쇼핑),118
저녁,상거래(쇼핑),337
새벽,식음료,52
새벽,일과 직업,78
새벽,상거래(쇼핑),79
